id,name,is_open,type,address,longitude,latitude
90,Pen Druid Brewing,TRUE,Micro Brewery,"7 River Ln, Sperryville, VA 22740-2147",-78.2261389,38.6570525
91,Port City Brewing Co.,TRUE,Micro Brewery,"3950 Wheeler Ave, Alexandria, VA 22304-6409",-77.101497,38.8079629
92,Pratt Street Ale House,TRUE,Brewpub,"206 W Pratt St, Baltimore, MD 21201-2426",-76.6181,39.2866038
93,Quattro Goombas Brewery,TRUE,Micro Brewery,"22860 James Monroe Hwy, Aldie, VA 20105-1916",-77.6193759,38.984838
94,Red Bear Brewing Co,TRUE,Brewpub,"209 M St NE, Washington, DC 20002",-77.002536,38.905445
95,Red Shedman Farm Brewery,TRUE,Micro Brewery,"13601 Glissans Mill Rd, Mount Airy, MD 21771-8507",-77.1933257,39.4226921
96,Republic Restoratives,TRUE,Micro Distillery,"1369 New York Avenue NE, Washington, DC 20002",-76.985248,38.915202
97,Right Proper Brewing Company,TRUE,Brewpub,"624 T St NW, Washington, DC 20001-5119",-77.0214224,38.9154246
98,Right Proper Brewing Company,TRUE,Micro Brewery,"920 Girard St NE, Washington, DC 20017",-76.99307,38.926805
99,Rock Bottom,TRUE,Brewpub,"4238 Wilson Blvd Ste 1256, Arlington, VA 22203-4142",-77.1107695,38.8788489
100,Rock Bottom,TRUE,Brewpub,"7900 Norfolk Ave, Bethesda, MD 20814-2502",-77.0976627,38.9888493
101,Ruhlman Brewery/Our Ales,TRUE,Micro Brewery,"2280 Harvey Gummel Rd, Hampstead, MD 21074-1033",-76.910219,39.63586
102,Scorpion Brewing,TRUE,Micro Brewery,"929 Skinners Turn Rd Ste 100, Owings, MD 20736-3037",-76.6184945,38.6829922
103,Silver Branch Brewing Company,TRUE,Micro Brewery,"8401 Colesville Rd #150, Silver Spring, MD 20910",-77.031056,38.995121
104,Spencer Devon Brewing,TRUE,Brewpub,"106 George St, Fredericksburg, VA 22401-5812",-77.4585363,38.302698
105,Steinhardt Brewing Company,TRUE,Micro Brewery,"PO Box 9, Braddock Heights, MD 21714-0009",-77.5033006,39.4193076
106,Streetcar 82 Brewing Co.,TRUE,Micro Brewery,"4824 Rhode Island Ave, Hyattsville, MD 20781",-76.942916,38.949282
107,Supreme Core Cider,TRUE,Micro Cidery,"2400 T St NE, Washington, DC 20002",-76.971858,38.915691
108,Sweetwater Tavern,TRUE,Brewpub,"14250 Sweetwater Ln, Centreville, VA 20121-5336",-77.4391592,38.8292361
109,Sweetwater Tavern,TRUE,Brewpub,"3066 Gate House Plz, Falls Church, VA 22042-1028",-77.2284443,38.8665685
110,Sweetwater Tavern,TRUE,Brewpub,"45980 Waterview Plz, Sterling, VA 20166-6556",-77.4098659,39.0335209
111,The Public Option,TRUE,Micro Brewery,"1601 Rhode Island Ave NE, Washington, DC 20018",-76.9816661,38.9260968
112,Tin Cannon Brewing Company,TRUE,Micro Brewery,"7679 Limestone Dr Ste 130, Gainesville, VA 20155-4041",-77.59733,38.790468
113,Union Craft Brewing,TRUE,Micro Brewery,"1700 Union Ave Ste D, Baltimore, MD 21211-1499",-76.6434592,39.3323092
114,Vanish,TRUE,Brewpub,"42264 Black Hops Lane, Leesburg, VA 20176",-77.5374225,39.2209998
115,Waverly Brewing Company,TRUE,Micro Brewery,"1625C Union Ave, Baltimore, MD 21211-1918",-76.641318,39.331652
116,White Marsh Brewing Co/Red Brick Station,TRUE,Micro Brewery,"8149 Honeygo Blvd Ste A, Baltimore, MD 21236-8202",-76.4642648,39.371445
117,Wild Run Brewing Company,TRUE,Micro Brewery,"3071 Jefferson Davis Hwy, Stafford, VA 22554-4524",-77.3999065,38.4712592
